session_id_raw,time_start,time_end,n_samples,soc_start,soc_end,delta_soc,charge_throughput_ah,capacity_ah_raw,duration_min,bms_available_capacity_at_max_soc,bms_available_energy_at_max_soc,bms_full_capacity_proxy_diag,mean_current,max_current,mean_temperature,max_temperature,capacity_ah_clean,capacity_ah_smooth,capacity_outlier_flag,bms_jump_flag_diag,soh_raw_percent,soh_clean_percent,soh_smooth_percent
0,2019-07-26T00:22:51,2019-07-26T02:04:30,764,10.8,67.2,56.400000000000006,75.5560724972222,133.9646675482663,101.6500015258789,91.25,30.35,135.78869047619048,-44.59555973821989,-41.20001,36.864528795811516,39.0,133.9646675482663,133.9646675482663,0,0,99.68294974938291,99.68294974938291,99.68294974938291
1,2019-07-27T01:30:24,2019-07-27T02:49:07,591,41.6,92.8,51.199999999999996,68.16662348611112,133.13793649631077,78.71666717529297,126.15,41.96,135.93750000000003,-51.95517016920475,-48.0,40.58629441624365,43.0,133.13793649631077,133.55130202228855,0,0,99.06778015715707,99.06778015715707,99.37536495327
178,2019-07-28T07:20:32,2019-07-28T09:04:36,781,22.4,99.6,77.19999999999999,104.55268684166666,135.43094150474957,104.06666564941406,135.34,45.02,135.8835341365462,-60.255581421254796,-15.10001,38.098591549295776,40.0,135.43094150474957,133.9646675482663,0,0,100.77400245602506,100.77400245602506,99.68294974938291
179,2019-07-28T19:54:54,2019-07-28T21:19:27,635,35.6,76.8,41.199999999999996,55.23445860277778,134.0642199096548,84.55000305175781,104.34,34.71,135.859375,-39.19119113385827,-32.39999,36.98582677165354,39.0,134.0642199096548,134.01444372896054,0,0,99.75702654305799,99.75702654305799,99.71998814622046
180,2019-07-29T01:35:50,2019-07-29T02:21:04,340,41.6,81.6,39.99999999999999,53.67099365,134.17748412500003,45.233333587646484,110.83,36.87,135.82107843137257,-71.19206882352941,-71.10001,37.40882352941176,39.0,134.17748412500003,134.0642199096548,0,0,99.84130631094973,99.84130631094973,99.75702654305799
186,2019-07-29T23:59:53,2019-07-30T01:21:14,611,37.6,99.2,61.6,82.52049323750002,133.96183967126626,81.3499984741211,134.84,44.85,135.92741935483872,-60.84615908346972,-14.89999,33.48117839607201,36.0,133.96183967126626,134.01444372896054,0,0,99.68084552947141,99.68084552947141,99.71998814622046
187,2019-07-30T13:45:32,2019-07-30T15:33:20,809,11.6,72.8,61.199999999999996,81.00357294444444,132.35877932098765,107.80000305175781,98.86,32.89,135.7967032967033,-45.073804487021015,-26.20001,37.28430160692213,40.0,132.35877932098765,133.9646675482663,0,0,98.48801022993635,98.48801022993635,99.68294974938291
188,2019-07-30T23:27:35,2019-07-30T23:54:08,200,10.0,25.2,15.2,19.978115802777776,131.4349723866959,26.549999237060547,34.05,11.32,135.11904761904762,-45.09101060000001,-22.20001,36.535,38.0,131.4349723866959,133.9632536097663,0,0,97.80060658915207,97.80060658915207,99.68189763942716
196,2019-07-30T23:59:36,2019-07-31T01:48:21,816,28.4,89.2,60.800000000000004,81.87479589166666,134.66249324287278,108.75,121.18,40.31,135.85201793721973,-45.14461783088236,0.0,38.53247549019608,40.0,134.66249324287278,133.9646675482663,0,0,100.20220101855972,100.20220101855972,99.68294974938291
197,2019-07-31T04:16:57,2019-07-31T05:05:07,362,72.8,99.6,26.799999999999997,36.433658729166666,135.946487795398,48.16666793823242,135.34,45.02,135.8835341365462,-45.38536651933703,-14.20001,37.49033149171271,39.0,135.946487795398,134.01444372896054,0,0,101.15761983756839,101.15761983756839,99.71998814622046
200,2019-07-31T11:33:20,2019-07-31T12:35:31,467,61.6,99.6,37.99999999999999,52.4888087,138.12844394736845,62.18333435058594,135.34,45.02,135.8835341365462,-50.629767473233414,-15.0,36.76659528907923,38.0,138.12844394736845,134.0642199096548,0,0,102.78121081444938,102.78121081444938,99.75702654305799
201,2019-08-01T03:14:36,2019-08-01T04:44:07,672,17.6,94.0,76.4,101.00188265555558,132.20141708842354,89.51667022705078,127.71,42.48,135.86170212765958,-67.68394300595239,-48.0,32.561011904761905,36.0,132.20141708842354,134.01444372896054,0,0,98.37091717989398,98.37091717989398,99.71998814622046
202,2019-08-01T17:02:05,2019-08-01T18:52:09,826,19.2,99.6,80.39999999999999,108.01623080694444,134.34854577978166,110.06666564941406,135.34,45.02,135.8835341365462,-58.86440391041162,-14.20001,31.95036319612591,35.0,134.34854577978166,134.0642199096548,0,0,99.96859308476641,99.96859308476641,99.75702654305799
203,2019-08-02T18:48:06,2019-08-02T20:27:54,749,27.2,99.6,72.39999999999999,97.49022909583334,134.65501256330575,99.80000305175781,135.34,45.02,135.8835341365462,-58.59199345794392,-14.5,35.78304405874499,38.0,134.65501256330575,134.12085201732742,0,0,100.19663465379341,100.19663465379341,99.79916642700385
204,2019-08-03T04:04:29,2019-08-03T04:58:31,406,38.8,68.8,30.0,40.16410615972222,133.88035386574074,54.03333282470703,93.48,31.09,135.87209302325584,-44.59927100985222,-44.5,33.80541871921182,36.0,133.88035386574074,134.0642199096548,0,0,99.62021203852082,99.62021203852082,99.75702654305799
205,2019-08-03T14:22:21,2019-08-03T16:28:59,950,28.0,98.0,70.0,92.8009648486111,132.5728069265873,126.63333129882812,133.17,44.3,135.8877551020408,-43.93537808421053,0.0,33.49368421052632,36.0,132.5728069265873,134.01444372896054,0,0,98.64726791664158,98.64726791664158,99.71998814622046
206,2019-08-04T09:00:19,2019-08-04T11:28:56,1115,22.4,99.6,77.19999999999999,101.99605563333333,132.11924304835924,148.61666870117188,135.34,45.02,135.8835341365462,-41.16089689686099,-14.5,32.57174887892376,35.0,132.11924304835924,133.9646675482663,0,0,98.30977157444184,98.30977157444184,99.68294974938291
207,2019-08-05T01:02:37,2019-08-05T02:38:13,719,20.4,74.4,54.00000000000001,71.96879374444445,133.27554397119343,95.5999984741211,101.09,33.63,135.87365591397847,-45.16885564673158,-22.60001,35.87899860917942,38.0,133.27554397119343,133.9632536097663,0,0,99.17017371551024,99.17017371551024,99.68189763942716
218,2019-08-05T23:59:48,2019-08-06T02:18:06,1038,10.8,88.4,77.60000000000001,104.13580081666667,134.1956196091065,138.3000030517578,120.08,39.94,135.83710407239818,-45.15646471098267,0.0,38.964836223506744,41.0,134.1956196091065,133.9646675482663,0,0,99.85480090309818,99.85480090309818,99.68294974938291
219,2019-08-06T13:20:49,2019-08-06T16:28:52,1411,22.8,76.4,53.60000000000001,70.51375,131.55550373134326,188.0500030517578,103.8,34.52,135.86387434554973,-22.49681077250177,-18.0,36.76045357902197,38.0,131.55550373134326,133.9632536097663,0,0,97.89029381931206,97.89029381931206,99.68189763942716
220,2019-08-07T01:46:49,2019-08-07T03:58:47,991,8.0,82.8,74.8,99.19952199444445,132.61968181075463,131.96665954589844,112.47,37.41,135.83333333333334,-45.102129071644804,-45.10001,35.472250252270435,38.0,132.61968181075463,133.96183967126626,0,0,98.682147462185,98.682147462185,99.68084552947141
221,2019-08-07T08:03:52,2019-08-07T11:13:52,1425,40.4,99.6,59.199999999999996,80.82736343055556,136.5327084975601,190.0,135.34,45.02,135.8835341365462,-25.520711256140352,-14.5,35.050877192982455,37.0,136.5327084975601,133.9632536097663,0,0,101.59382596464003,101.59382596464003,99.68189763942716
222,2019-08-07T22:14:04,2019-08-07T22:58:54,337,26.4,52.0,25.6,33.70028525,131.6417392578125,44.83333206176758,70.53,23.46,135.6346153846154,-45.10090020771513,-45.10001,36.1513353115727,38.0,131.6417392578125,133.96183967126626,0,0,97.9544615719663,97.9544615719663,99.68084552947141
223,2019-08-08T07:54:49,2019-08-08T09:34:37,749,51.6,99.6,47.99999999999999,65.62054438888889,136.70946747685187,99.80000305175781,135.34,45.02,135.8835341365462,-39.439796368491315,-14.60001,33.77436582109479,35.0,136.70946747685187,133.9632536097663,0,0,101.72535211084681,101.72535211084681,99.68189763942716
224,2019-08-08T16:20:47,2019-08-08T18:40:59,1052,49.6,94.8,45.199999999999996,60.9803567,134.91229358407082,140.1999969482422,128.8,42.84,135.8649789029536,-26.094306577946767,-20.10001,40.999049429657795,42.0,134.91229358407082,133.9646675482663,0,0,100.38807715526607,100.38807715526607,99.68294974938291
225,2019-08-09T02:27:18,2019-08-09T06:26:08,1792,24.4,99.6,75.19999999999999,101.6774429111111,135.20936557328605,238.8333282470703,135.34,45.02,135.8835341365462,-25.540513007812503,-14.39999,37.3046875,40.0,135.20936557328605,134.01444372896054,0,0,100.60912806902451,100.60912806902451,99.71998814622046
226,2019-08-09T16:16:08,2019-08-09T19:19:00,1372,4.8,99.6,94.8,128.94278948583332,136.01560072345288,182.86666870117188,135.34,45.02,135.8835341365462,-42.299789736151595,-7.300018,44.883381924198254,47.0,136.01560072345288,134.0642199096548,0,0,101.20904668511268,101.20904668511268,99.75702654305799
