run_dir,method,macro_mae,macro_rmse,micro_samples,weighted_avg_mae,weighted_avg_rmse
final_local_seed42,local,2.0203838939468066,2.189513675371806,9933,2.0317445594619,2.200665786456828
final_proposed_seed42,proposed,2.1526143908500672,2.3243779549996058,9933,2.157398108916137,2.329180663752273
final_centralized_seed42,centralized,1.8983665059010189,2.390455771485964,9933,1.9113813638867156,2.404403126591016
final_fedavg_seed42,fedavg,3.239695986111959,3.390201437473297,9933,3.2570537276074223,3.407871191139737
